name,key_error,value_error,category_error
static-fwd-star_5__anticlockwise_180___ease-in__extremely_large__orange__dotted-gap-20__scale-1.0__sample-315,0,0.2708027181918044,0.0
static-fwd-star_5__clockwise_60___linear__small__umber__dotted-gap-20__scale-0.5__sample-718,1,0.20471108222111392,0.0
static-fwd-star_8__clockwise_50___linear__medium__blue__dotted-gap-20__scale-1.5__sample-988,1,0.20211605919083525,0.0
static-fwd-star_8__clockwise_60___ease-out__very_small__red__fill__scale-1.5__sample-883,23,0.3320551889196811,0.03896103896103896
static-fwd-star_8__clockwise__ease-in__very_large__apricot__dotted-gap-20__scale-1.5__sample-563,0,0.1444906372800057,0.0
static-fwd-triangle__anticlockwise_125___ease-in__large__jade__dotted-gap-20__scale-0.5__sample-763,0,0.20517031904553393,0.0
static-fwd-triangle__anticlockwise_50___ease-out__extremely_large__coral__dotted-gap-20__scale-0.5__sample-97,5,0.1851431633053391,0.0
static-fwd-triangle__anticlockwise_90___linear__medium__silver__outline__scale-0.5__sample-357,14,0.21606500353471392,0.0
static-fwd-triangle__anticlockwise__ease-out__large__mint__dotted-gap-20__scale-1.0__sample-534,0,0.20511435684344487,0.0
static-fwd-triangle__clockwise_180___ease-out__very_small__lavender__fill__scale-0.5__sample-839,5,0.20917481276656688,0.0
static-fwd-triangle__clockwise_60___ease-out__medium__turquoise__dotted-gap-20__scale-1.5__sample-671,0,0.16433284866619396,0.0
