name,key_error,value_error,category_error
static-fwd-polygon_6__anticlockwise_270___linear__extremely_large__blue__fill__scale-1.5__sample-810,19,0.12049894036248805,0.0273972602739726
static-fwd-polygon_6__clockwise_180___linear__extremely_large__yellow__dotted-gap-20__scale-1.0__sample-992,0,0.30685042131163054,0.0
static-fwd-polygon_6__clockwise_45___ease-out__very_small__black__outline__scale-0.5__sample-309,0,0.33515382304373315,0.0
static-fwd-polygon_6__clockwise_60___ease-out__very_large__green__fill__scale-1.0__sample-149,19,0.23092651388285765,0.0273972602739726
static-fwd-polygon_6__clockwise_90___ease-in__extremely_large__orange__fill__scale-1.5__sample-976,6,0.18716174983504788,0.0273972602739726
static-fwd-polygon_6__left-to-right__ease-in__small__ice__dotted-gap-20__scale-0.5__sample-612,0,0.21993593007575785,0.0
static-fwd-polygon_6__right-to-left__ease-out__very_small__cyan__outline__scale-0.5__sample-599,0,0.12386648008402525,0.0
static-fwd-rounded-square_16__clockwise_180___ease-in__small__gold__dotted-gap-20__scale-1.5__sample-458,16,0.28549597675689126,0.0
static-fwd-rounded-square_16__clockwise_45___ease-out__very_large__orange__dotted-gap-20__scale-1.0__sample-224,0,0.2768319527260419,0.0
static-fwd-rounded-square_16__clockwise_50___ease-out__medium__coral__outline__scale-1.5__sample-908,13,0.16749342314940988,0.013513513513513514
static-fwd-rounded-square_16__clockwise_60___ease-out__medium__aqua__outline__scale-1.0__sample-683,15,0.3855846333026423,0.0
static-fwd-rounded-square_16__clockwise_90___ease-in__very_large__brown__dotted-gap-20__scale-0.5__sample-450,3,0.19073972735283745,0.0
static-fwd-square__anticlockwise_180___linear__large__amber__fill__scale-1.0__sample-151,1,0.39672314162164324,0.0
static-fwd-square__anticlockwise_225___ease-out__very_large__white__dotted-gap-20__scale-1.5__sample-187,0,0.19944447187053863,0.0
static-fwd-square__anticlockwise_270___ease-out__very_small__navy__dotted-gap-20__scale-0.5__sample-593,2,0.24063666972616873,0.0
static-fwd-square__clockwise_60___linear__large__aqua__fill__scale-1.5__sample-978,21,0.20632848854949729,0.0
static-fwd-square__clockwise_90___ease-out__small__red__dotted-gap-20__scale-1.0__sample-61,15,0.2117032614148295,0.0
static-fwd-square__clockwise__ease-out__extremely_large__cyan__fill__scale-1.5__sample-847,6,0.17585293453969034,0.028985507246376812
static-fwd-star_5__anticlockwise_125___ease-out__large__neon_pink__fill__scale-1.5__sample-895,0,0.23772580382971975,0.0
static-fwd-star_5__anticlockwise_180___ease-in__extremely_large__orange__dotted-gap-20__scale-1.0__sample-315,0,0.16098293457053425,0.0
static-fwd-star_5__clockwise_180___ease-out__medium__ice__outline__scale-1.5__sample-672,7,0.1180742075923683,0.0
static-fwd-star_5__clockwise_60___linear__small__umber__dotted-gap-20__scale-0.5__sample-718,0,0.19687607563569218,0.0
static-fwd-star_5__up-to-down__linear__very_large__white__dotted-gap-20__scale-1.5__sample-877,0,0.16541844833479966,0.0
static-fwd-star_8__anticlockwise_125___linear__large__pink__fill__scale-1.5__sample-190,19,0.12075749576442775,0.03896103896103896
static-fwd-star_8__clockwise_50___linear__medium__blue__dotted-gap-20__scale-1.5__sample-988,0,0.13565456791437322,0.0
static-fwd-star_8__clockwise_60___ease-out__very_small__red__fill__scale-1.5__sample-883,19,0.2755132921246359,0.025974025974025976
static-fwd-star_8__clockwise__ease-in__very_large__apricot__dotted-gap-20__scale-1.5__sample-563,0,0.08521165152663222,0.0
static-fwd-star_8__down-to-up__ease-in__medium__coffee__outline__scale-1.0__sample-637,0,0.206234509093343,0.0
static-fwd-triangle__anticlockwise_125___ease-in__large__jade__dotted-gap-20__scale-0.5__sample-763,0,0.32821713291921295,0.0
static-fwd-triangle__anticlockwise_270___ease-out__medium__indigo__fill__scale-1.5__sample-771,0,0.2118719800785835,0.0
static-fwd-triangle__anticlockwise_50___ease-out__extremely_large__coral__dotted-gap-20__scale-0.5__sample-97,0,0.226894481354166,0.0
static-fwd-triangle__anticlockwise_90___linear__medium__silver__outline__scale-0.5__sample-357,14,0.17229011106766173,0.01282051282051282
static-fwd-triangle__anticlockwise__ease-out__large__mint__dotted-gap-20__scale-1.0__sample-534,0,0.15135797994480577,0.0
static-fwd-triangle__clockwise_180___ease-out__very_small__lavender__fill__scale-0.5__sample-839,0,0.2041816107122118,0.0
static-fwd-triangle__clockwise_60___ease-out__medium__turquoise__dotted-gap-20__scale-1.5__sample-671,0,0.11454840793426278,0.0
