name,key_error,value_error,category_error
static-fwd-polygon_5__anticlockwise_60___ease-out__large__neon_blue__fill__scale-0.5__sample-88,0,0.23314680676220453,0.0
static-fwd-polygon_5__anticlockwise__ease-in__medium__navy__dotted-gap-20__scale-1.0__sample-158,103,0.2223792347674394,0.0
static-fwd-polygon_5__anticlockwise__linear__very_small__olive__dotted-gap-20__scale-0.5__sample-907,0,0.2165704903226338,0.0
static-fwd-polygon_5__clockwise_60___linear__very_large__stone__outline__scale-1.0__sample-423,13,0.06640506581499285,0.0
static-fwd-polygon_5__clockwise_90___linear__small__burgundy__dotted-gap-20__scale-1.0__sample-628,0,0.19654542447602025,0.0
static-fwd-polygon_5__clockwise__ease-in__very_large__baby_blue__dotted-gap-20__scale-1.5__sample-56,0,0.13350637376931254,0.0
static-fwd-polygon_5__left-to-right__ease-out__extremely_large__jade__outline__scale-0.5__sample-682,13,0.21378644997651394,0.0
static-fwd-polygon_5__up-to-down__ease-in__large__fire__dotted-gap-20__scale-1.0__sample-60,1,0.25258494389856556,0.0
static-fwd-polygon_5__up-to-down__ease-out__large__slate__dotted-gap-20__scale-0.5__sample-461,1,0.16522118520466691,0.0
static-fwd-polygon_6__anticlockwise_125___linear__large__peach__dotted-gap-20__scale-1.5__sample-29,0,0.20201314312913676,0.0
static-fwd-polygon_6__clockwise_180___ease-out__very_large__marigold__fill__scale-1.0__sample-74,5,0.34937807606812443,0.0136986301369863
static-fwd-polygon_6__clockwise_225___linear__very_small__lime__dotted-gap-20__scale-0.5__sample-853,157,0.31989109548049083,0.011627906976744186
static-fwd-polygon_6__clockwise_60___ease-in__small__periwinkle__dotted-gap-20__scale-1.0__sample-885,19,0.15530383720471969,0.023255813953488372
static-fwd-rounded-square_16__clockwise__ease-out__extremely_large__sand__outline__scale-1.5__sample-351,0,0.14456218231689236,0.0
static-fwd-square__anticlockwise_225___linear__small__black__dotted-gap-20__scale-1.0__sample-362,4,0.20833327119096812,0.0
static-fwd-square__anticlockwise_45___linear__small__neon_pink__fill__scale-0.5__sample-710,0,0.22664205558996128,0.0
static-fwd-square__clockwise_180___linear__medium__peach__outline__scale-1.0__sample-794,22,0.24585992572413168,0.0
static-fwd-square__down-to-up__linear__very_large__green__fill__scale-1.0__sample-0,12,0.19119309059645534,0.028985507246376812
static-fwd-square__right-to-left__ease-in__very_small__emerald_dark__outline__scale-1.5__sample-502,0,0.13964113475768322,0.0
static-fwd-square__up-to-down__linear__medium__black__fill__scale-0.5__sample-164,3,0.5519065169283389,0.0
static-fwd-star_5__anticlockwise_60___ease-in__small__amber__dotted-gap-20__scale-1.0__sample-633,0,0.2685049500907145,0.0
static-fwd-star_5__clockwise_125___linear__very_large__bronze__dotted-gap-20__scale-1.0__sample-209,4,0.22046020861627014,0.0
static-fwd-star_8__anticlockwise_225___ease-in__very_small__olive__outline__scale-0.5__sample-766,0,0.30200631716516035,0.0
static-fwd-star_8__anticlockwise_90___linear__very_small__navy__fill__scale-0.5__sample-21,20,0.23287056641838721,0.025974025974025976
static-fwd-star_8__anticlockwise__ease-out__very_small__periwinkle__outline__scale-0.5__sample-410,0,0.14501319968073498,0.0
static-fwd-star_8__clockwise_225___ease-in__extremely_large__bronze__dotted-gap-20__scale-1.0__sample-343,9,0.12156719134614367,0.0
static-fwd-star_8__clockwise_45___linear__small__lime__outline__scale-1.0__sample-950,2,0.2102642861132328,0.0
static-fwd-star_8__clockwise__ease-out__extremely_large__lime__fill__scale-1.5__sample-398,19,0.27166266031431985,0.025974025974025976
static-fwd-triangle__anticlockwise_125___ease-in__large__jade__dotted-gap-20__scale-0.5__sample-763,1,0.24420268911175608,0.0
static-fwd-triangle__anticlockwise_270___ease-in__small__jade__dotted-gap-20__scale-1.0__sample-368,0,0.25648787659825983,0.0
static-fwd-triangle__anticlockwise_270___ease-out__medium__indigo__fill__scale-1.5__sample-771,6,0.22415936263298838,0.0136986301369863
static-fwd-triangle__clockwise_45___ease-out__very_small__charcoal__fill__scale-0.5__sample-855,4,0.3463853706106925,0.0
static-fwd-triangle__right-to-left__ease-in__very_large__olive__dotted-gap-20__scale-1.5__sample-723,0,0.24845348224336183,0.0
